procedure,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench,significant
Expanding,iv_120,120,3m,expanding,expanding,0.703,0.6879001691445437,0.2457578250300077,0.032869,0.9826253444871588,0.9955887395331636,0
Expanding,iv_120,48,6m,expanding,expanding,-1.124,0.2509834062525501,0.4009134692735535,0.313842,0.801826938547107,0.9955887395331636,0
Expanding,iv_120,60,6m,expanding,expanding,7.454,1.6354405839385708,0.05097836029663589,0.332349,0.3495658991769318,0.725025568663266,0
Expanding,iv_120,72,6m,expanding,expanding,7.518,1.474824601397175,0.07012985266717744,0.337544,0.44883105706993565,0.9286159801446944,0
Expanding,iv_120,120,6m,expanding,expanding,10.918,1.67091213243059,0.047369517374804576,0.345739,0.3495658991769318,0.6996113335355754,0
Expanding,iv_80,48,12m,expanding,expanding,-0.6,0.1823674819261108,0.42764717175857725,0.179106,0.6794144357236174,0.9955887395331636,0
Expanding,iv_80,60,12m,expanding,expanding,1.362,0.4390989043502145,0.33029493648180236,0.182004,0.6538043588823211,0.9955887395331636,0
Expanding,iv_80,72,12m,expanding,expanding,0.878,0.3467473925961132,0.3643905511865213,0.174173,0.6538043588823211,0.9955887395331636,0
Expanding,iv_80,120,12m,expanding,expanding,5.663,0.8056707691029389,0.21021635413932185,0.163716,0.6538043588823211,0.9955887395331636,0
Expanding,iv_80,48,1m,expanding,expanding,-4.044,-1.0323235933440025,0.8490397239531507,-0.009844,0.9992938016691973,0.9955887395331636,0
Expanding,iv_80,60,1m,expanding,expanding,-1.092,-0.9028296048052931,0.8166918318607156,-0.006473,0.9992938016691973,0.9955887395331636,0
Expanding,iv_80,72,1m,expanding,expanding,-1.151,-0.8553735103167692,0.8038277982046211,-0.005091,0.9992938016691973,0.9955887395331636,0
Expanding,iv_80,120,1m,expanding,expanding,-1.227,-0.8075312026130003,0.790319747436737,2.02e-4,0.9992938016691973,0.9955887395331636,0
Expanding,iv_80,48,3m,expanding,expanding,-10.405,-1.1307378651018318,0.8709172804707076,0.005893,0.9826253444871588,0.9955887395331636,0
Expanding,iv_80,60,3m,expanding,expanding,0.365,0.4845320112840319,0.3140041758803621,0.013976,0.9826253444871588,0.9955887395331636,0
Expanding,iv_80,72,3m,expanding,expanding,0.548,0.5722869567146154,0.28356379237524076,0.016659,0.9826253444871588,0.9955887395331636,0
Expanding,iv_80,120,3m,expanding,expanding,0.747,0.5952469622151206,0.2758392014505336,0.025559,0.9826253444871588,0.9955887395331636,0
Expanding,iv_80,48,6m,expanding,expanding,-3.439,-0.1852908705159987,0.573499550839774,0.141374,0.8449110364940271,0.9955887395331636,0
Expanding,iv_80,60,6m,expanding,expanding,2.569,0.7498149372924456,0.22668308555280087,0.149418,0.6958960563627625,0.9955887395331636,0
Expanding,iv_80,72,6m,expanding,expanding,2.418,0.6628537772441333,0.2537121038822572,0.148776,0.6958960563627625,0.9955887395331636,0
Expanding,iv_80,120,6m,expanding,expanding,5.232,0.8897276539396327,0.18680607066121677,0.143518,0.6958960563627625,0.9955887395331636,0
Expanding,iv_90,48,12m,expanding,expanding,-1.241,0.08795000953711499,0.4649582043535655,0.262449,0.6794144357236174,0.9955887395331636,0
Expanding,iv_90,60,12m,expanding,expanding,2.63,0.6587420040241841,0.2550307275539242,0.27466,0.6538043588823211,0.9955887395331636,0
Expanding,iv_90,72,12m,expanding,expanding,1.581,0.46869441265319,0.31964404063802426,0.273915,0.6538043588823211,0.9955887395331636,0
Expanding,iv_90,120,12m,expanding,expanding,4.369,0.6951783180952064,0.24347177919086083,0.265391,0.6538043588823211,0.9955887395331636,0
Expanding,iv_90,48,1m,expanding,expanding,-5.887,-1.1281833110499808,0.8703787447221889,-0.028854,0.9992938016691973,0.9955887395331636,0
Expanding,iv_90,60,1m,expanding,expanding,-2.108,-1.1497372236984595,0.8748739410149956,-0.023999,0.9992938016691973,0.9955887395331636,0
Expanding,iv_90,72,1m,expanding,expanding,-1.991,-0.9892195748742788,0.8387221384388701,-0.021398,0.9992938016691973,0.9955887395331636,0
Expanding,iv_90,120,1m,expanding,expanding,-1.9,-0.9120392319355163,0.8191259671962201,-0.01391,0.9992938016691973,0.9955887395331636,0
Expanding,iv_90,48,3m,expanding,expanding,-15.391,-1.3410999614514976,0.9100560000845971,-0.025024,0.9826253444871588,0.9955887395331636,0
Expanding,iv_90,60,3m,expanding,expanding,-1.417,-1.095755847113471,0.8634071822562494,-0.012754,0.9826253444871588,0.9955887395331636,0
Expanding,iv_90,72,3m,expanding,expanding,-0.771,-0.5013260976163202,0.69192917938227,-0.006549,0.9826253444871588,0.9955887395331636,0
Expanding,iv_90,120,3m,expanding,expanding,-0.462,-0.2182608292506113,0.5863870537842419,0.008142,0.9826253444871588,0.9955887395331636,0
Expanding,iv_90,48,6m,expanding,expanding,-7.088,-0.606923865151621,0.7280492802909466,0.14176,0.8868656490500613,0.9955887395331636,0
Expanding,iv_90,60,6m,expanding,expanding,2.676,0.8506090415881608,0.19749328259225246,0.156259,0.6958960563627625,0.9955887395331636,0
Expanding,iv_90,72,6m,expanding,expanding,2.402,0.7152871231747094,0.23721582184183274,0.161011,0.6958960563627625,0.9955887395331636,0
Expanding,iv_90,120,6m,expanding,expanding,3.645,0.8057231098449895,0.21020126066083678,0.161833,0.6958960563627625,0.9955887395331636,0
Expanding,iv_skew_80_100,48,12m,expanding,expanding,-0.11,0.19062954817867453,0.4244079192974142,0.101434,0.6794144357236174,0.9955887395331636,0
Expanding,iv_skew_80_100,60,12m,expanding,expanding,-1.24,-0.243087455912535,0.5960311757279516,0.086985,0.7630701064910158,0.9955887395331636,0
Expanding,iv_skew_80_100,72,12m,expanding,expanding,-1.131,-0.16445258515277555,0.5653125649755243,0.061377,0.7505208650141028,0.9955887395331636,0
Expanding,iv_skew_80_100,120,12m,expanding,expanding,-0.38,0.09476311665938733,0.46225149181553177,0.042518,0.6794144357236174,0.9955887395331636,0
Expanding,iv_skew_80_100,48,1m,expanding,expanding,-0.627,-0.5374426618359104,0.7045190593537279,0.04785,0.9992938016691973,0.9955887395331636,0
