predictor,window_days,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
log_slope_quad,1008,1d,expanding,expanding,0.037,1.3587723558341687,0.08710936788359529,4.31e-4,0.20178756819362836,0.15486109845972496
log_slope_quad,1008,5d,expanding,expanding,0.015,0.36110073626124567,0.35901207143931124,7.45e-4,0.35901207143931124,0.3666506261507859
log_slope_quad,1008,21d,expanding,expanding,0.28,0.9240755492039847,0.17772349128045353,0.003084,0.17772349128045353,0.22564610783392994
log_slope_quad,1008,63d,expanding,expanding,-0.764,-0.5358805631048432,0.7039794507397906,0.004978,0.7039794507397906,0.7039794507397906
log_slope_quad,1008,126d,expanding,expanding,3.786,2.8996133417989567,0.0018681161866857816,0.031558,0.014944929493486253,0.07167372825360459
log_slope_quad,1008,252d,expanding,expanding,8.87,2.346814268661841,0.009467345349254844,0.103407,0.0320142562498246,0.07167372825360459
log_slope_quad,1260,1d,expanding,expanding,0.039,1.2799117356683953,0.10028808988712619,4.44e-4,0.20178756819362836,0.16205419815310734
log_slope_quad,1260,5d,expanding,expanding,0.055,0.921990518783114,0.17826676059572405,8.16e-4,0.25771412860093695,0.22564610783392994
log_slope_quad,1260,21d,expanding,expanding,0.645,2.143455082212035,0.016038287092641067,0.003428,0.042308897747214164,0.07167372825360459
log_slope_quad,1260,63d,expanding,expanding,0.653,1.5847165883892227,0.05651537059297438,0.005792,0.14947251081533286,0.12389874543762495
log_slope_quad,1260,126d,expanding,expanding,2.99,2.477962361732364,0.00660675416358981,0.032155,0.015978554527144688,0.07167372825360459
log_slope_quad,1260,252d,expanding,expanding,2.374,2.256958113758393,0.012005346093684227,0.102936,0.0320142562498246,0.07167372825360459
log_slope_quad,1512,1d,expanding,expanding,0.036,1.1877195403591092,0.11747196134302455,4.48e-4,0.20178756819362836,0.1768669246910814
log_slope_quad,1512,5d,expanding,expanding,0.05,0.8251706600065729,0.20463735408980882,8.39e-4,0.25771412860093695,0.22564610783392994
log_slope_quad,1512,21d,expanding,expanding,0.643,2.0077230397847297,0.022336365456304078,0.003548,0.042308897747214164,0.08247273399250737
log_slope_quad,1512,63d,expanding,expanding,0.654,1.476219263039215,0.06994251996533042,0.006062,0.14947251081533286,0.13826504605322978
log_slope_quad,1512,126d,expanding,expanding,3.256,2.456000328011359,0.007024651459808199,0.032123,0.015978554527144688,0.07167372825360459
log_slope_quad,1512,252d,expanding,expanding,2.37,2.1339062132340962,0.01642522939145105,0.101353,0.0328504587829021,0.07167372825360459
log_slope_quad,2520,1d,expanding,expanding,0.042,1.0779013635571975,0.14053888843078394,4.66e-4,0.20178756819362836,0.19840784249051852
log_slope_quad,2520,5d,expanding,expanding,0.071,0.8666315264733302,0.19307196698298734,8.99e-4,0.25771412860093695,0.22564610783392994
log_slope_quad,2520,21d,expanding,expanding,0.809,2.0334396786876705,0.021004061013843108,0.003742,0.042308897747214164,0.08247273399250737
log_slope_quad,2520,63d,expanding,expanding,0.803,1.4413971647585238,0.07473625540766643,0.006859,0.14947251081533286,0.13826504605322978
log_slope_quad,2520,126d,expanding,expanding,3.676,2.4094050198943626,0.007989277263572344,0.031192,0.015978554527144688,0.07167372825360459
