predictor,horizon_m,R2_in,adj_R2_in,Beta,Beta_1sd_y,Beta_sd_sd,t_HH,p_HH,p_FDR,p_FDR_global,Beta_1sd_bps,horizon
lty_yield,3,2.67527101607395,2.27,-0.01081,-0.012254099650020299,-0.164,-1.9,0.0592,0.911,0.631,-122.5,3m
lty_yield,6,4.312572555434437,3.91,-0.02047,-0.023163571564939308,-0.208,-1.61,0.109,0.605,0.854,-231.6,6m
lty_yield,12,6.187348437768808,5.78,-0.03539,-0.03979883924535819,-0.249,-1.29,0.198,0.576,0.966,-398,12m
term_spread,1,0.17165473864635783,-0.24,-0.00141,-0.0018020592176227223,-0.041,-0.6,0.547,0.966,0.966,-18,1m
term_spread,3,1.3855923059861945,0.98,-0.00692,-0.008818916833449526,-0.118,-1.19,0.236,0.911,0.966,-88.2,3m
term_spread,6,1.897819745291687,1.49,-0.012070000000000001,-0.01536614038581075,-0.138,-1.22,0.223,0.843,0.966,-153.7,6m
term_spread,12,0.9362670403977829,0.51,-0.01229,-0.01548167643324243,-0.097,-0.84,0.403,0.859,0.966,-154.8,12m
inflation_yoy,1,4.018338641091361,3.62,-0.00453,-0.008718954807779964,-0.2,-2.78,0.00587,0.188,0.15,-87.2,1m
inflation_yoy,3,10.917401762013865,10.55,-0.0128,-0.024754671175115844,-0.33,-3.19,0.00163,0.0522,0.0744,-247.5,3m
inflation_yoy,6,13.962358706756925,13.6,-0.02142,-0.0416789444722968,-0.374,-2.47,0.0143,0.374,0.235,-416.8,6m
inflation_yoy,12,8.973998159095716,8.58,-0.02433,-0.04793040591455248,-0.3,-1.74,0.0836,0.382,0.754,-479.3,12m
