horizon,main_pred,control,dAIC,dBIC,t_main,p_main,beta_main_1sd_bps
6,iv_skew_80_100,vix_ann,0.06618013651183219,3.5509770700024887,0.67,0.5037399448213125,99.55280790768067
12,iv_skew_80_100,vix_ann,0.7588757214205657,4.2184612355647175,0.43,0.67065595890026,115.41774413126726
6,iv_skew_90_120,vix_ann,-5.67719230327549,-2.1923953697848333,-2.2,0.028702642900704393,-262.6746289774074
12,iv_skew_90_120,vix_ann,-26.101480000119892,-22.64189448597574,-2.38,0.018194999831245288,-718.5127256276448
6,skew_ratio_80_120,vix_ann,-0.8096441683650255,2.675152765125631,-1.35,0.1774330230904251,-123.87349484815083
12,skew_ratio_80_120,vix_ann,-15.08758562609205,-11.628000111947898,-2.51,0.012686700501259352,-436.40385826155335
6,skew_ratio_90_110,vix_ann,0.140386260272237,3.6251831937628936,-0.93,0.3554904682604676,-98.31171182681086
12,skew_ratio_90_110,vix_ann,-10.134836080816626,-6.675250566672474,-2.13,0.03426640632442075,-359.5669740471291
6,skew_ratio_90_120,vix_ann,-6.375192740304897,-2.89039580681424,-2.2,0.02847176758692766,-204.37679917827214
12,skew_ratio_90_120,vix_ann,-28.533042262062907,-25.073456747918755,-2.42,0.016213035510118056,-551.8859186917352
6,log_slope_quad,vix_ann,-4.460972059151345,-0.9761751256606885,1.94,0.053698038203883636,180.56938487247953
12,log_slope_quad,vix_ann,-28.447599292909473,-24.98801377876532,2.7,0.007348228180819407,553.7636915090548
6,iv_110,vix_ann,0.7569920678299695,4.241789001320626,0.63,0.5298966571334864,221.6581336744837
12,iv_110,vix_ann,-8.685128406178393,-5.225542892034241,1.7,0.08988645498625486,936.6486821115858
6,iv_120,vix_ann,-6.237018966153926,-2.752222032663269,1.96,0.051648734956195916,389.01949687091576
12,iv_120,vix_ann,-27.831571622957256,-24.371986108813104,2.1,0.03653222031360731,1100.4936210739868
